sadness,worry,surprise,love,happiness,content
1,0,0,0,0,908 355 355 1008 438 908 1028 928 510 846 46 1064 2017 2118 2118 411 928 928 2118 419 438 251 2118 251 362 1064 438 2118 2017 438 784 928 251 2118 784 928 1901 438 510 2118 2017 928 908 419 2118 784 251 419 438 1901 2118 2017 928 419 2017 438 411 355 1064 2118 46 2118 2118 438 251 1064 2017 2118 2118 438 438 419 438 411 908 908 784 419 419 2118 1064 251 
1,0,0,0,0,46 3659 1008 46 251 643 908 928 1008 419 438 510 510 1008 355 438 46 2118 2118 2017 928 846 2118 
0,1,0,0,0,1064 251 605 251 438 2118 1064 438 438 362 928 411 438 46 908 362 251 2118 908 643 928 2017 419 1064 510 908 1901 908 510 2118 251 1064 411 2118 2017 2017 419 846 438 908 908 928 1064 46 928 419 411 438 46 908 362 2017 928 
0,0,1,0,0,908 46 510 928 251 1064 438 2118 1064 1901 2118 3659 438 2118 2017 2118 419 846 438 438 908 251 1064 1028 928 2118 438 846 908 928 251 784 1008 510 438 438 784 251 438 411 908 438 908 355 46 2118 1064 438 438 362 908 46 846 643 411 2118 2017 438 419 928 2202 438 355 419 1064 46 510 908 
0,0,0,0,1,1064 438 908 362 784 928 196 846 928 605 2118 784 438 251 419 2118 928 251 928 510 2118 2017 928 510 605 438 510 2118 438 251 196 438 251 2017 1028 928 908 908 419 2118 510 355 46 846 643 419 1064 605 419 251 784 1008 2017 928 362 2017 928 2017 928 
1,0,0,0,0,46 419 2118 411 438 643 928 251 846 438 784 605 908 928 2118 928 908 1008 1901 510 928 643 928 362 438 46 2118 1901 510 251 2118 846 1901 510 928 251 3659 1008 2118 419 1064 438 251 1064 2118 438 355 928 908 438 251 1064 251 1064 2017 2118 
0,0,1,0,0,362 1028 362 784 510 643 419 846 438 2118 2118 251 438 2118 2017 928 510 908 928 2118 2118 928 510 1901 438 510 1008 438 46 2118 2017 419 438 251 928 846 510 251 419 46 510 251 846 928 438 46 846 2017 
0,1,0,0,0,846 643 2118 438 411 438 510 643 
0,0,0,0,1,251 846 438 438 605 928 510 510 1008 928 2017 2017 1008 908 251 362 411 419 784 3659 251 1064 196 355 438 438 438 46 510 928 3659 419 928 928 784 928 362 355 2118 438 1901 1901 2118 355 2017 355 46 2118 2118 2017 251 643 2017 928 362 2202 46 419 2118 411 438 643 928 251 46 605 
0,1,0,0,0,908 1008 251 784 362 362 928 251 411 2118 2017 46 419 2118 251 784 1064 438 251 1064 2118 438 784 419 419 2017 784 
1,0,0,0,0,1008 419 2118 438 784 846 2017 2017 46 510 2118 419 419 438 355 362 
0,0,1,0,0,46 1064 2017 2017 251 1064 438 1028 928 510 419 1064 251 2118 2017 2118 784 1064 928 2118 2118 251 1064 438 908 362 
1,0,0,0,0,2118 46 846 643 251 438 1901 1901 846 928 2118 908 908 2118 419 419 438 411 510 784 438 46 2118 419 362 928 
1,0,0,0,0,928 908 362 362 1008 419 419 362 438 510 355 355 438 251 419 1901 438 510 784 928 
0,0,0,1,0,2017 510 419 251 362 908 2017 2118 419 419 438 438 438 438 605 510 928 2118 2118 1008 251 928 2017 1028 251 2118 1901 908 438 411 928 510 928 362 1901 438 510 1008 928 510 419 
0,1,0,0,0,2118 928 784 46 251 908 643 1901 419 2017 438 251 419 2017 438 411 2118 251 784 928 438 510 2118 2017 251 362 1901 438 510 2118 2017 928 1901 510 419 2118 1008 928 510 419 251 846 928 438 510 438 251 411 928 510 928 251 2118 355 846 643 2118 908 251 2118 846 605 2118 438 251 419 1901 784 605 784 419 419 928 362 2118 
